,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,54,21,-21,6.5620613,406,2.227052465125764e-10
1,2,-52,-69,13,6.233756,296,1.3256854396456906e-09
2,3,47,21,-36,5.4881415,390,6.105988042325304e-08
3,4,29,60,-33,5.4558544,375,7.154434306800965e-08
4,5,0,-62,-6,5.3882422,406,9.949196009909751e-08
5,6,65,-15,5,4.905375,156,9.639833862333655e-07
6,7,48,-78,12,4.874829,62,1.1072558725269568e-06
7,8,-60,-32,-3,4.7492695,234,1.9442952134099284e-06
8,9,27,-49,64,4.628562,46,3.3071744457616294e-06
9,10,25,-95,25,4.567523,203,4.30984518410728e-06
11,11,-2,-95,28,4.521498,62,5.253356561838465e-06
12,12,59,10,14,4.519499,265,5.298552656157378e-06
14,13,35,-54,59,4.489983,46,6.010882555873732e-06
15,14,8,-98,23,4.3978825,250,8.875055645573553e-06
16,15,59,-5,17,4.3975434,406,8.887697264722553e-06
17,16,-55,-62,6,4.382428,125,9.469206717737363e-06
18,17,-60,-44,10,4.3441057,78,1.1111742857133206e-05
19,18,-26,-14,64,4.3382215,62,1.1386978942023843e-05
20,19,32,-51,61,4.3379145,31,1.1401520985467261e-05
21,20,60,-48,-11,4.3107615,93,1.2760203164259767e-05
22,21,-4,-103,15,4.3019285,265,1.3234694437315361e-05
23,22,-32,-94,20,4.279441,31,1.4520212342628135e-05
24,23,-37,-91,17,4.2736545,15,1.4869857490157062e-05
25,24,44,30,-42,4.2513523,187,1.6294391275765047e-05
26,25,39,-49,56,4.2460284,31,1.665327743794076e-05
27,26,-24,-102,5,4.2005477,156,2.0043169417186945e-05
28,27,-47,-33,-40,4.1185246,78,2.7889592756960127e-05
29,28,62,-43,11,4.1166034,78,2.810459008113015e-05
30,29,28,-84,-3,4.1067996,250,2.9226579041071538e-05
31,30,50,-66,-15,4.0713778,125,3.3647195414007924e-05
32,31,-58,-51,23,4.061382,46,3.500571385756436e-05
33,32,65,-30,6,4.037246,109,3.850470286902164e-05
34,33,50,-73,12,4.0079684,15,4.319704174721977e-05
35,34,13,-101,18,4.005307,62,4.364954915384527e-05
36,35,37,-46,59,3.9702048,31,5.005681616939066e-05
37,36,-23,7,-34,3.9593992,218,5.220287435736199e-05
38,37,1,-101,18,3.9310987,156,5.824582390868345e-05
10,10a,15,-95,30,3.9140744,,6.219513966862483e-05
39,38,-60,-45,-5,3.9077094,46,6.373601273171946e-05
40,39,-40,-18,-28,3.8721094,296,7.304461197642731e-05
42,40,22,-46,66,3.8174772,15,8.987561546950193e-05
43,41,34,-44,61,3.7924674,46,9.875124709496893e-05
44,42,-50,-53,-35,3.7898946,265,9.970994227356738e-05
45,43,-52,-67,1,3.7686646,31,0.00010796406514433959
46,44,37,-54,56,3.767771,31,0.00010832528711730782
41,39a,-38,-25,-25,3.741237,,0.00011958721965757709
47,45,45,-83,15,3.703892,46,0.00013732477234622265
48,46,-34,-94,12,3.69327,15,0.00014280684182597155
49,47,-1,-36,68,3.636354,31,0.00017587564777777636
50,48,62,-30,26,3.6091573,78,0.00019411111182078748
51,49,-50,-38,-38,3.5868597,15,0.00021037490314753345
52,50,44,38,21,3.5690975,62,0.00022423908898814063
53,51,62,-35,21,3.5565076,78,0.00023458154377374883
54,52,42,-39,56,3.5444784,46,0.0002448807852852338
55,53,47,-41,51,3.5328753,31,0.0002552165419183185
56,54,-35,-91,20,3.5292385,15,0.0002585395685202827
57,55,40,-24,-27,3.5236256,62,0.0002637479455696376
58,56,-60,-39,20,3.5029755,15,0.00028377016778526715
13,12a,56,13,24,3.4934056,,0.000293524904451135
59,57,42,-19,-30,3.487919,31,0.0002992583190157961
60,58,57,24,-1,3.4731624,15,0.0003152045547534683
61,59,6,-19,67,3.4529033,46,0.0003383970180776645
62,60,33,-87,33,3.3980021,15,0.0004095338320787437
63,61,-55,-54,23,3.391618,15,0.0004186580192507913
64,62,15,-92,33,3.3914523,31,0.0004188973487196878
65,63,43,-67,-31,3.386611,15,0.00042594660042604516
66,64,-50,-41,-40,3.3859994,15,0.0004268448863051436
67,65,39,-39,58,3.3768437,31,0.00044050699187505313
68,66,-29,-96,17,3.3640704,31,0.0004602505041222098
69,67,54,24,1,3.3525634,31,0.00047874116110948543
70,68,0,-93,30,3.3049986,15,0.0005627740487205836
71,69,30,-90,33,3.2979524,15,0.0005763322996447827
72,70,2,-51,63,3.291064,15,0.0005898803401499289
73,71,-60,-47,8,3.2847247,15,0.0006026098689138748
74,72,-30,-57,58,3.2633932,15,0.0006473461844566461
75,73,-31,-32,62,3.2539704,31,0.0006680747898698383
76,74,-24,40,-20,3.2509322,15,0.0006748887213923675
77,75,-1,-49,63,3.2434433,15,0.0006919616022122678
78,76,-21,40,-23,3.233285,15,0.0007157616688373522
79,77,-23,-65,59,3.2293081,15,0.000725284410485994
80,78,35,-87,30,3.2194223,15,0.0007494685978236105
81,79,-26,-34,65,3.217934,31,0.0007531740465852527
82,80,44,-41,54,3.209186,31,0.0007752973367834526
83,81,-28,-60,58,3.203728,15,0.0007894048247690122
84,82,46,35,16,3.2034526,15,0.0007901228483589212
85,83,46,33,18,3.199636,15,0.0008001370523420371
86,84,45,-22,-30,3.1994734,15,0.0008005662975123039
87,85,53,-64,-13,3.1688924,15,0.0008852016905268959
88,86,-42,-28,-33,3.1640568,15,0.000899319810448136
89,87,-38,-47,55,3.1602957,15,0.0009104444905143084
90,88,53,-61,-16,3.1588562,15,0.0009147361593406518
91,89,-25,-62,59,3.1556199,15,0.0009244527074652041
92,90,-10,-28,-35,3.1463373,15,0.000952854991378234
93,91,53,-68,-3,3.1302137,15,0.0010041155975261552
